id,price,speed,hd,ram,screen,cores,cd,laptop,trend
154,3513,35,5,32,19,30,no,no,4
155,3989,31,5,36,15,22,no,no,5
156,2129,20,16,2,15,22,no,no,4
157,3573,36,5,60,19,28,no,no,5
158,639,17,28,10,11,4,no,yes,1
159,1660,23,28,14,19,6,yes,no,1
160,2337,15,20,2,21,22,no,no,5
161,3276,39,5,56,21,26,yes,no,4
162,3660,34,5,56,21,24,yes,no,5
163,1201,16,20,10,21,6,no,no,1
164,747,15,28,14,12,8,no,yes,1
165,2567,18,20,2,23,28,no,no,5
166,3653,38,5,32,19,28,no,no,4
167,2986,20,16,6,23,28,no,no,4
168,1492,20,20,10,19,4,yes,no,1
169,1362,17,20,10,23,6,no,no,2
170,885,19,12,2,13,6,no,yes,1
171,3287,39,1,60,23,28,no,no,4
172,3371,38,3,16,17,16,no,no,2
173,2765,21,20,14,19,14,no,no,1
174,3032,31,1,60,23,26,yes,no,5
175,4015,35,1,52,21,26,no,no,5
176,1744,18,28,6,23,8,yes,no,1
177,1842,19,20,2,21,6,no,no,2
178,2938,17,24,2,23,30,no,no,5
179,3593,39,1,32,21,26,no,no,4
180,1201,15,20,14,21,4,no,no,2
181,2801,24,8,10,19,26,no,no,4
182,2741,16,24,10,23,18,no,no,5
183,1121,16,16,6,13,4,no,yes,1
184,3591,31,7,28,23,18,no,no,4
185,1205,17,24,14,21,6,no,no,2
186,1855,15,20,2,19,10,no,no,2
187,2659,23,8,14,17,24,no,no,4
188,2359,17,24,10,15,24,no,no,4
189,4273,31,3,40,23,24,no,no,5
190,2689,18,24,10,21,26,no,no,4
191,1401,22,8,10,15,6,no,no,2
192,593,20,8,10,12,4,no,yes,1
193,3687,37,7,28,19,28,no,no,5
194,1226,22,12,6,19,8,no,no,2
195,2410,23,28,10,23,24,no,no,4
196,2519,19,12,10,19,20,no,no,5
197,3945,30,3,52,21,28,no,no,5
198,1337,22,28,14,21,10,no,no,2
199,2659,15,24,6,19,22,no,no,4
200,4101,31,5,36,15,26,no,no,4
201,2297,18,28,6,21,22,no,no,4
202,2935,22,24,2,15,18,no,no,4
203,4228,35,5,16,17,26,yes,no,4
204,4026,33,5,28,15,20,no,no,4
205,2897,17,12,6,17,16,no,no,1
206,3493,34,7,28,19,30,no,no,4
207,1076,23,20,6,13,10,yes,no,2
208,1868,19,20,10,17,6,yes,no,1
209,3128,35,7,36,23,12,yes,no,2
210,1234,22,16,6,15,6,no,no,2
211,862,15,12,6,12,6,no,yes,2
212,3804,39,3,36,23,28,yes,no,5
213,1934,19,20,10,15,8,no,no,2
214,3696,33,3,56,23,18,yes,no,5
215,1619,17,8,14,21,6,no,no,2
216,4299,31,5,60,15,28,no,no,5
217,1521,16,20,14,19,6,no,no,2
218,885,19,12,2,12,10,no,yes,1
219,1369,17,28,14,21,4,no,no,2
220,4167,31,5,52,17,12,no,no,1
221,4225,36,3,32,21,30,no,no,4
222,2180,22,28,14,21,28,yes,no,4
223,3123,35,1,20,23,18,no,no,5
224,2031,16,16,10,19,30,no,no,5
225,2965,21,12,14,17,26,no,no,5
226,2740,22,8,14,23,16,yes,no,1
227,764,19,24,10,12,4,yes,no,2
228,3320,33,5,60,15,12,yes,no,2
229,2073,15,20,6,21,14,no,no,2
230,1453,23,8,6,21,8,no,no,2
231,3799,33,5,48,21,24,no,no,5
232,3847,37,3,40,23,28,no,no,5
233,793,23,28,2,11,8,no,yes,2
234,3561,39,1,56,19,14,no,no,2
235,603,15,16,14,11,4,no,yes,2
236,605,17,24,14,11,4,no,yes,2
237,925,21,28,10,12,8,no,yes,1
238,788,19,8,6,11,6,yes,no,2
239,2482,15,24,10,21,28,no,no,5
240,4341,38,7,40,15,20,no,no,4
241,3529,31,1,32,21,20,no,no,5
242,1741,24,12,6,23,10,no,no,2
243,1496,20,24,6,17,8,yes,no,2
244,4116,33,3,20,19,22,yes,no,5
245,1078,23,24,10,12,6,no,yes,1
246,2127,16,12,14,19,30,no,no,5
247,4189,39,1,32,19,18,no,no,4
248,3001,33,5,16,17,30,no,no,5
249,2620,21,12,10,19,26,yes,no,5
250,4156,32,1,24,17,30,yes,no,4
251,3385,36,1,32,23,22,no,no,4
252,2158,24,28,2,19,12,no,no,2
253,634,18,20,14,11,8,no,yes,2
254,3112,31,7,60,15,28,yes,no,5
255,709,23,12,14,12,8,no,yes,2
256,3626,30,7,36,17,16,no,no,2
257,976,22,20,6,13,4,yes,no,1
258,2474,24,12,6,23,18,no,no,5
259,4056,30,5,24,17,14,yes,no,2
260,1139,20,16,2,11,6,no,yes,2
261,1768,20,24,14,23,10,yes,no,2
262,4263,33,1,16,19,26,no,no,5
263,3374,30,1,36,19,22,no,no,4
264,2021,23,16,6,17,16,no,no,1
265,1651,18,28,10,21,6,no,no,1
266,2519,16,8,10,19,12,no,no,2
267,2496,21,8,6,19,14,yes,no,2
268,1051,16,20,2,11,4,no,yes,1
269,1781,22,28,2,23,8,no,no,1
270,1054,24,20,6,13,4,no,yes,2
271,1903,23,8,2,17,6,no,no,2
272,2971,17,8,10,19,26,no,no,5
273,1215,20,12,6,15,6,no,no,1
274,4275,32,3,60,23,18,no,no,4
275,2471,16,24,2,19,16,no,no,1
276,1690,16,16,2,15,8,no,no,1
277,2677,17,20,2,23,14,no,no,1
278,2810,23,28,10,19,24,no,no,4
279,1783,17,24,14,15,10,no,no,1
280,3760,38,5,52,15,30,yes,no,5
281,1823,15,12,14,23,4,no,no,1
282,3066,36,7,60,15,22,no,no,5
283,3255,38,1,40,21,28,no,no,5
284,3118,38,1,20,17,30,no,no,4
285,822,24,16,14,12,4,no,yes,2
286,2959,16,20,6,17,16,no,no,1
287,2284,24,16,14,23,30,yes,no,5
288,742,19,8,6,12,4,no,yes,1
289,2151,24,20,2,23,28,no,no,5
290,4329,35,7,28,23,22,no,no,5
291,1101,23,16,10,13,4,no,yes,2
292,3799,34,1,44,15,30,no,no,5
293,3814,36,5,56,23,14,no,no,2
294,573,15,28,2,11,10,no,yes,1
295,2626,18,8,14,15,26,no,no,5
296,811,19,16,14,13,8,no,yes,2
297,2679,23,12,2,19,22,no,no,5
298,1384,17,12,6,15,6,yes,no,1
299,1090,22,12,10,12,10,no,yes,1
300,2903,15,12,14,21,20,no,no,5
301,2612,15,24,2,17,18,yes,no,5
302,3970,38,3,52,21,30,no,no,5
303,651,20,20,10,13,4,no,yes,1
304,3301,39,1,40,23,18,no,no,5
305,4087,30,7,56,17,20,no,no,5
306,4249,38,1,32,23,20,no,no,5
307,3816,39,5,60,23,12,yes,no,1
308,1106,17,12,2,13,10,no,yes,2
309,2158,20,28,10,23,24,no,no,5
310,687,18,24,14,11,10,no,yes,1
311,2849,17,8,14,23,16,no,no,2
312,2576,24,8,14,17,18,yes,no,5
313,3092,35,7,36,15,12,yes,no,2
314,1654,24,28,14,23,10,no,no,2
315,2053,22,20,10,19,26,no,no,4
316,509,22,20,10,12,8,no,yes,2
317,4219,35,1,28,23,26,no,no,4
318,4042,31,3,40,17,28,no,no,5
319,3676,38,5,56,17,14,yes,no,2
320,1338,15,20,2,19,10,no,no,1
321,937,19,28,10,13,6,no,yes,2
322,2230,20,8,6,15,30,no,no,5
323,4172,32,1,44,23,22,yes,no,4
324,1913,23,16,14,21,6,no,no,2
325,2222,19,28,2,15,24,no,no,4
326,1777,20,24,14,17,6,no,no,2
327,4171,38,5,32,23,16,no,no,1
328,3966,36,5,52,21,18,no,no,5
329,1473,16,8,2,23,10,no,no,1
330,1894,23,12,2,19,6,no,no,2
331,3421,31,7,16,21,18,no,no,5
332,2444,16,28,10,21,26,yes,no,4
333,3720,37,1,44,17,26,yes,no,4
334,2278,19,8,14,19,30,no,no,4
335,3522,35,1,48,15,18,no,no,4
336,1117,18,24,6,11,10,no,yes,1
337,908,21,20,2,12,4,yes,no,1
338,3001,39,7,24,17,20,no,no,5
339,2415,20,20,14,21,28,no,no,4
340,1087,15,12,2,13,6,no,yes,1
341,3897,39,5,20,23,22,no,no,5
342,3649,32,5,44,15,30,no,no,4
343,1008,20,16,10,12,6,yes,no,1
344,1410,23,8,10,23,6,no,no,2
345,1267,21,28,10,17,4,no,no,1
346,1587,15,20,10,15,8,no,no,1
347,1588,23,28,10,23,10,yes,no,1
348,3656,33,7,60,21,24,yes,no,4
349,3522,37,3,60,15,12,no,no,2
350,1529,17,28,2,17,6,no,no,2
351,1196,24,28,14,12,8,yes,no,1
352,2265,18,16,10,15,24,no,no,4
353,4233,36,3,36,15,26,no,no,4
354,3817,37,1,52,15,16,no,no,2
355,4036,32,1,52,15,12,yes,no,1
356,672,21,28,10,13,10,yes,no,1
357,3366,33,1,32,15,26,no,no,4
358,564,15,12,6,12,10,yes,no,2
359,1977,15,12,6,19,8,no,no,2
360,3388,33,3,52,17,26,yes,no,5
361,650,16,20,14,11,6,no,yes,2
362,2185,18,16,10,19,28,no,no,5
363,1244,24,8,6,15,4,yes,no,1
364,2037,24,8,2,15,28,no,no,5
365,3684,30,3,24,17,30,yes,no,4
366,927,21,20,6,11,4,no,yes,2
367,4289,39,5,48,23,22,no,no,5
368,3354,31,3,40,17,22,no,no,5
369,2609,15,12,10,21,18,no,no,4
370,3849,31,1,32,23,20,no,no,5
371,4005,30,5,60,21,16,no,no,1
372,1613,15,28,2,17,10,no,no,1
373,2262,19,16,10,23,26,no,no,4
374,2596,19,24,6,15,22,yes,no,4
375,2249,21,8,6,21,16,no,no,2
376,858,17,28,10,13,6,no,yes,1
377,2695,18,20,14,17,28,no,no,4
378,2887,24,20,10,19,12,no,no,2
379,986,23,20,6,13,4,no,yes,1
380,2904,16,16,2,21,22,yes,no,4
381,3945,36,1,52,17,18,no,no,4
382,1241,20,24,10,21,10,no,no,2
383,1312,21,20,2,17,6,yes,no,1
384,2340,22,20,2,23,26,yes,no,4
385,724,20,12,10,12,6,yes,no,2
386,1230,19,16,14,19,10,no,no,2
387,2310,15,16,2,17,12,no,no,2
388,2764,15,20,14,15,26,yes,no,5
389,3806,30,7,36,19,14,no,no,2
390,1339,15,24,6,17,6,no,no,2
391,2498,21,16,6,17,22,no,no,4
392,1952,22,24,6,21,8,yes,no,2
393,1928,23,24,14,23,8,yes,no,1
394,4298,37,7,28,17,20,no,no,5
395,3563,30,5,56,17,24,no,no,5
396,2859,22,24,2,15,16,no,no,2
397,2489,24,8,10,21,24,no,no,4
398,800,19,20,14,12,6,yes,no,2
399,939,17,24,6,13,4,no,yes,2
400,681,20,8,10,13,4,no,yes,1
401,1413,19,28,14,23,8,no,no,1
402,1447,15,16,14,17,8,no,no,1
403,634,19,20,10,12,4,no,yes,1
404,3383,32,3,56,17,30,no,no,5
405,3820,35,3,40,19,16,yes,no,1
406,723,22,20,2,13,8,no,yes,1
407,2396,22,12,10,15,28,yes,no,4
408,2406,20,20,6,15,30,no,no,5
409,3743,36,5,56,21,24,no,no,4
410,2779,21,16,2,17,30,no,no,4
411,3156,36,7,24,19,22,yes,no,4
412,3198,30,5,20,21,28,no,no,5
413,3565,38,1,36,21,30,no,no,4
414,1754,22,28,14,15,8,no,no,2
415,1834,24,24,10,19,10,no,no,2
416,3665,30,5,40,19,30,no,no,5
417,1276,16,12,10,17,10,yes,no,1
418,2964,23,28,10,15,12,yes,no,1
419,812,19,12,14,13,4,yes,no,1
420,2807,16,12,2,15,14,no,no,1
421,1364,21,20,10,23,6,yes,no,2
422,1703,20,24,2,23,8,no,no,2
423,1492,21,16,14,23,8,yes,no,1
424,795,22,24,2,13,4,no,yes,2
425,638,16,8,2,13,10,no,yes,1
426,2221,17,8,10,21,18,no,no,4
427,3806,37,7,44,15,22,no,no,4
428,538,19,12,6,11,4,no,yes,2
429,3683,30,3,24,21,22,no,no,5
430,2992,24,8,6,23,20,yes,no,5
431,2092,16,24,2,15,26,yes,no,5
432,639,21,8,6,12,10,no,yes,2
433,3478,36,1,36,23,22,no,no,5
434,4005,39,1,60,15,20,no,no,5
435,1499,16,20,10,19,4,no,no,2
436,3179,38,7,20,19,22,no,no,4
437,3272,36,5,24,19,28,yes,no,4
438,4011,38,7,44,21,22,no,no,4
439,2249,17,8,10,15,16,no,no,2
440,2678,22,20,6,21,24,no,no,4
441,995,24,20,6,13,10,no,yes,2
442,2465,16,16,10,19,28,no,no,5
443,4089,32,7,56,17,24,no,no,5
444,627,20,20,10,13,4,no,yes,1
445,588,16,12,10,13,8,yes,no,1
446,1133,19,20,6,11,6,no,yes,2
447,3820,35,1,52,17,28,yes,no,4
448,2333,15,16,14,17,24,no,no,5
449,1432,18,20,14,15,8,yes,no,1
450,646,19,8,14,13,4,no,yes,1
451,570,24,8,10,11,4,no,yes,1
452,1568,22,12,14,23,10,yes,no,2
453,3827,33,7,28,23,30,no,no,5
454,3758,33,5,24,19,22,no,no,4
455,1317,15,28,2,19,6,no,no,1
456,1929,15,16,10,21,6,no,no,2
457,2528,21,28,10,17,22,yes,no,5
458,2206,20,16,10,17,16,no,no,1
459,2720,24,20,6,15,30,yes,no,4
460,1910,16,20,14,21,6,no,no,1
461,1055,16,8,2,11,4,no,yes,2
462,2258,24,12,2,19,30,no,no,5
463,3697,33,1,52,19,20,no,no,5
464,2782,17,24,14,21,20,no,no,4
465,4341,39,7,48,17,26,no,no,5
466,3779,37,1,24,19,24,no,no,5
467,882,16,8,6,11,4,no,yes,1
468,1369,23,24,10,23,10,no,no,2
469,3867,39,3,32,19,30,no,no,4
470,1662,24,20,10,17,4,no,no,2
471,3280,32,1,20,15,24,yes,no,5
472,1938,17,12,14,21,10,no,no,1
473,2994,24,12,10,17,12,no,no,2
474,1079,21,20,2,11,8,no,yes,2
475,3979,35,3,20,19,22,no,no,4
476,521,17,12,2,13,6,no,yes,2
477,1925,16,12,14,15,10,no,no,1
478,2906,20,24,10,23,16,no,no,2
479,2164,22,28,10,23,30,yes,no,5
480,2801,16,24,10,15,14,no,no,2
481,1159,19,8,10,11,10,no,yes,1
482,1708,23,24,10,19,10,yes,no,1
483,1111,20,12,2,12,6,no,yes,2
484,767,19,20,14,11,6,no,yes,1
485,3732,30,1,40,19,14,yes,no,1
486,1058,22,12,2,12,10,no,yes,2
487,3054,39,5,36,17,20,no,no,5
488,1038,21,20,10,12,4,no,yes,2
489,3158,39,7,56,19,22,no,no,4
490,3232,38,5,44,19,14,yes,no,1
491,3873,32,3,40,19,24,no,no,5
492,3983,34,7,20,17,16,no,no,1
493,1966,19,8,10,15,4,no,no,2
494,2793,19,20,14,19,30,no,no,4
495,2623,15,28,6,21,18,no,no,5
496,3828,36,7,36,23,22,yes,no,4
497,2890,22,8,10,19,12,no,no,1
498,2057,15,20,10,19,12,no,no,2
499,3567,36,7,20,17,12,no,no,2
500,2064,19,28,2,23,14,yes,no,1
501,1829,23,12,14,15,6,no,no,2
502,4236,37,7,28,17,22,yes,no,4
503,1813,18,16,10,23,4,no,no,1
504,4112,33,3,44,21,24,yes,no,4
505,2459,22,16,10,17,24,no,no,4
506,1216,22,8,2,21,6,yes,no,1
507,3532,31,5,28,19,12,yes,no,2
508,2401,24,28,14,19,14,no,no,2
509,902,16,20,14,13,8,no,yes,1
510,3716,32,7,24,19,14,yes,no,2
511,1976,19,28,6,19,8,yes,no,1
512,1538,22,8,6,23,8,no,no,2
513,2464,22,16,14,23,20,yes,no,4
514,3109,35,5,16,15,18,no,no,4
515,1862,16,24,2,19,8,no,no,1
516,3205,30,3,56,19,22,no,no,4
517,3760,33,3,20,19,26,yes,no,5
518,888,16,24,2,13,8,yes,no,1
519,721,16,20,14,11,10,no,yes,2
520,3348,36,5,16,23,16,yes,no,2
521,2112,20,12,2,15,14,yes,no,1
522,3728,37,3,60,23,20,yes,no,4
523,4287,34,1,28,17,28,no,no,4
524,4338,34,7,32,17,26,no,no,4
525,2670,15,28,2,23,30,no,no,5
526,3056,30,1,16,23,12,yes,no,2
527,2683,23,24,10,17,26,no,no,4
528,4283,38,5,16,17,30,no,no,4
529,3039,34,3,28,21,20,no,no,5
530,2260,20,8,2,21,14,yes,no,1
531,848,19,24,14,12,6,yes,no,1
532,2479,16,16,10,17,12,no,no,1
533,596,18,8,14,12,6,yes,no,1
534,2786,16,28,10,21,14,no,no,1
535,2726,23,20,10,15,20,no,no,4
536,4284,35,7,32,15,26,yes,no,4
537,2585,23,28,2,15,12,no,no,2
538,1218,23,20,10,23,8,no,no,1
539,3137,31,5,24,23,26,no,no,5
540,1534,16,8,10,15,4,no,no,1
541,2567,15,12,10,23,26,no,no,4
542,3797,35,1,60,15,26,no,no,5
543,2495,16,24,6,17,12,no,no,1
544,2272,23,12,2,15,16,yes,no,2
545,3833,31,3,36,17,26,no,no,4
546,3865,36,7,60,19,24,no,no,5
547,3057,35,7,60,15,20,no,no,5
548,2755,17,8,10,19,24,no,no,5
549,2292,18,24,14,19,14,yes,no,2
550,1693,19,8,2,21,4,no,no,1
551,1136,20,8,10,12,8,yes,no,2
552,1832,19,28,10,21,8,yes,no,1
553,4144,38,1,40,15,20,yes,no,5
554,1102,16,20,14,11,4,no,yes,1
555,4203,30,7,36,23,30,no,no,5
556,4255,36,5,32,17,22,no,no,4
557,585,20,24,6,13,8,no,yes,1
558,4343,30,3,60,21,22,no,no,5
559,1561,16,12,10,15,6,no,no,1
560,2646,19,28,14,15,18,no,no,5
561,3538,37,1,28,23,12,no,no,1
562,3750,35,5,20,17,12,no,no,1
563,3993,33,1,44,15,18,no,no,5
564,908,24,16,6,13,8,yes,no,1
565,619,20,12,2,13,6,no,yes,1
566,3423,36,7,16,23,26,no,no,5
567,2848,18,8,2,15,12,yes,no,2
568,1995,16,16,2,23,4,no,no,1
569,801,23,24,14,12,4,no,yes,1
570,4285,39,7,32,21,14,no,no,2
571,820,18,12,6,12,6,yes,no,2
572,3603,30,3,36,21,24,no,no,4
573,3851,32,7,52,21,18,no,no,4
574,2694,23,16,2,23,20,no,no,5
575,897,16,20,14,12,6,no,yes,2
576,2958,24,12,6,23,24,no,no,5
577,1681,19,24,10,23,4,no,no,1
578,2500,24,12,10,23,12,yes,no,1
579,1579,15,24,14,15,6,no,no,1
580,1848,17,24,6,21,8,yes,no,1
581,2473,15,20,6,17,26,no,no,4
582,1948,20,20,2,23,8,yes,no,2
583,652,15,24,2,12,4,yes,no,1
584,966,19,16,2,13,4,no,yes,1
585,885,23,8,10,12,8,no,yes,1
586,3712,37,3,40,19,22,yes,no,5
587,1558,17,24,6,17,6,no,no,2
588,792,18,16,14,13,6,yes,no,2
589,589,19,28,2,13,6,no,yes,1
590,2613,18,28,10,17,22,no,no,4
591,4248,39,1,20,17,18,yes,no,4
592,1214,23,24,14,17,6,no,no,2
593,2824,16,12,10,17,12,yes,no,1
594,3845,33,3,24,21,30,no,no,4
595,788,20,28,14,13,4,yes,no,1
596,3579,30,5,48,21,30,no,no,4
597,2873,22,8,14,17,16,no,no,2
598,1387,24,28,10,19,8,no,no,1
599,2998,23,16,14,19,24,no,no,5
600,1376,16,20,6,21,6,yes,no,1
601,2327,19,24,6,23,16,no,no,1
602,770,18,12,14,12,8,no,yes,2
603,1785,23,28,14,15,6,no,no,2
604,3774,35,1,48,19,22,no,no,5
605,1351,19,20,14,21,8,no,no,2
606,2645,23,24,2,23,26,no,no,5
607,995,17,28,2,12,10,no,yes,2
608,2184,23,28,14,23,20,yes,no,5
609,584,21,20,2,11,10,yes,no,2
610,3121,39,7,36,15,26,no,no,4
611,1199,15,20,10,12,8,no,yes,2
612,4048,30,5,32,23,24,yes,no,4
613,3172,38,5,40,15,12,yes,no,2
614,1860,21,20,6,23,10,yes,no,2
615,977,23,24,10,11,4,no,yes,2
616,1848,22,28,2,21,10,yes,no,2
617,2471,17,16,6,19,12,no,no,2
618,2512,15,28,6,19,30,yes,no,5
619,787,22,28,14,12,10,no,yes,2
620,1280,24,8,14,19,10,yes,no,1
621,2870,17,12,2,19,18,no,no,4
622,3920,35,3,32,15,20,yes,no,4
623,3140,34,5,52,23,24,yes,no,4
624,3430,33,5,56,17,26,no,no,5
625,2461,18,28,2,15,14,no,no,1
626,3199,39,7,48,23,14,no,no,2
627,4152,36,7,40,15,14,yes,no,2
628,3786,34,5,56,21,16,no,no,2
629,1505,24,16,2,21,10,no,no,1
630,1539,15,24,10,17,10,no,no,1
631,1221,18,20,14,23,6,no,no,1
632,1694,22,12,2,17,10,no,no,1
633,1918,18,12,2,19,6,no,no,2
634,3540,39,1,28,15,20,yes,no,4
635,3097,30,5,56,17,12,no,no,1
636,3946,34,5,48,23,22,no,no,5
637,740,16,12,2,13,8,yes,no,1
638,3181,39,7,16,23,22,no,no,5
639,3501,38,3,24,19,24,no,no,4
640,1202,15,8,10,21,8,no,no,1
641,3526,39,5,24,17,30,no,no,5
642,4098,33,3,44,23,16,no,no,1
643,4161,32,7,24,23,12,no,no,1
644,684,17,8,6,12,8,yes,no,1
645,3225,32,3,52,15,28,no,no,5
646,3145,36,3,52,23,14,no,no,2
647,1489,18,24,6,15,6,no,no,2
648,4123,36,3,24,21,12,no,no,2
649,2433,20,20,10,19,24,no,no,5
650,1048,16,8,6,13,10,yes,no,2
651,2108,16,24,6,15,16,yes,no,1
652,3528,39,3,16,17,22,yes,no,5
653,1740,21,8,10,17,6,yes,no,1
654,1955,16,8,10,23,6,no,no,1
655,2781,22,24,14,21,18,no,no,4
656,3243,39,5,20,15,30,no,no,5
